CompetencyLevelId,ModuleId
1,441101
1,441105
2,441102
2,441108
3,441101
4,441104
4,441105
5,441101
5,441105
6,441102
7,441108
8,441108
9,551457
9,551460
9,551461
9,551462
9,551672
10,551462
10,551529
10,551672
10,662253
11,500083
11,551457
11,551458
11,551462
12,551455
12,551457
12,551528
12,551529
12,662253
13,500083
13,551458
13,551528
13,551529
13,551672
13,662253
14,551457
14,551460
14,551462
15,551462
16,551462
17,551457
17,551458
18,551458
18,662253
19,551457
19,551462
20,551455
20,551461
21,662253
22,600091
22,661982
22,661984
22,662004
22,662086
23,600091
23,661982
23,661984
23,662004
24,600086
24,600089
24,600091
24,661982
24,661985
24,662004
24,662327
25,600089
25,600100
25,661982
25,661985
25,662085
25,662086
26,600086
26,600089
26,600091
26,600098
26,600100
26,661985
26,662004
26,662085
26,662086
26,662327
27,600089
27,600091
27,662004
28,600091
28,661984
28,662004
29,600089
29,661984
29,661985
30,662086
31,600098
31,662327
32,600086
32,600089
32,600100
