LevelDbID,LevelNumber,Description,CompetencyID
1,4,Demonstrate the ability to solve computational problems and communicate process and solutions using appropriate tools.,1,
2,4,"With detailed guidance students will be able to use prescribed materials to conduct guided investigation across legal, social, ethical, cybersecurity, commercial, economic, environmental and professional issues in the relevant digital sector.",2,
3,4,Use a specified set of software development tools to create and debug simple software.,3,
4,4,"Apply given logic and mathematics to routine computational problems, demonstrating computational thinking.",4,
5,4,Design and implement a range of algorithms according to detailed functional and non-functional requirements.,5,
6,4,"With detailed guidance students will be able to identify, explain and compare various computer hardware and software architectures and environments with respect to criteria such as efficiency, security and scalability. Design and develop software to meet specified requirements.",6,
7,4,With detailed guidance students will be able to engage in team activities and contribute to defined elements of a group outcome.,7,
8,4,"With detailed guidance students will be able to review, reflect and document consequences of personal decisions that impact upon their capacity to study effectively and on their general well-being. Understand the need for continuing professional development with respect to their chosen degree programme.",8,
9,5,With some guidance students will be able to elicit requirements and model solutions to deliver value with respect to a problem domain. Identify and explore opportunities for enterprise and innovation in a commercial and economic context.,1,
10,5,"With some guidance students will be able to use appropriate ethical and legal frameworks, recognise and assess potential ethical and social issues associated with technology.",2,
11,5,"With some guidance students will be able to use specified development tools and follow defined processes to develop, debug and formally test software individually and as part of a team.",3,
12,5,"Apply given logic and mathematics to computational problems, demonstrating computational thinking in designing, developing and testing systems.",4,
13,5,"Select, design and implement a range of algorithms according to functional and non-functional requirements.",5,
14,5,With some guidance students will be able to use a variety of software development methodologies to model networked and stand-alone information and database systems. Demonstrate appropriate consideration of user experience and Human Computer Interaction approaches. Develop systems using appropriate software design patterns.,6,
15,5,"With some guidance students will be able to participate constructively in team organisation and operation, with some awareness of contemporary theories of teamworking dynamics. Be responsible for delivery of defined elements of group projects. Reflect critically on team and individual performance.",7,
16,5,"With some guidance students will be able to review, reflect and document consequences of personal decisions that impact upon their capacity to study effectively and on their general well-being. Review, reflect, plan and document a professional portfolio of experience.",8,
17,5,"With some guidance students will be able to apply Computer Science theory and techniques to solve authentic problems, for example through the use of appropriate programming paradigms and algorithms.",CS,
18,5,"With some guidance students will be able to program established and novel Artificial Intelligence techniques to solve authentic problems and respond to change, keeping ethics, data management and safety in focus.",CSAI,
19,5,With some guidance students will be able to: Analyse complex systems and use Design Thinking to develop effective digital solutions. Be proficient in developing for a range of digital platforms and specific situations.,SE,
20,5,With some guidance students will be able to apply a practical understanding of software engineering to programming languages and existing technologies appropriate for game development.,GD,
21,5,"With some guidance students will be able to programme, develop and test robotic platforms to solve authentic problems using Artificial Intelligence techniques ensuring the safety of humans, robots, and the environment",ROBAI,
22,6,"With little or no guidance, students will be able to use critical and creative thinking, appropriate research and problem solving to develop innovative solutions, and critically evaluate and effectively communicate the processes and outcomes.",1,
23,6,"With little or no guidance, students will be able to identify, assess and plan mitigation for project risks. Identify and evaluate ethical and legal issues associated with proposed projects and activities.",2,
24,6,"With little or no guidance, Students will be able to select and use appropriate development tools and practices, applying them to solve problems and develop or maintain software.",3,
25,6,"With little or no guidance, Students will be able to anticipate how the digital sector is evolving and how the roles and responsibilities of a practitioner are changing, especially regarding information security.",4,
26,6,"With little or no guidance, Students will be able to select, design, implement and evaluate a range of algorithms according to functional and non-functional requirements.",5,
27,6,"With little or no guidance, students will be able to design and engineer software/hardware-based systems that, where appropriate, consider scalability, reliability, efficiency, maintainability, resilience, security, useability and accessibility.",6,
28,6,"Students will be able to review, reflect and document consequences of personal decisions that impact upon their capacity to study effectively and on their general well-being. Review, reflect, plan and maintain a diverse professional portfolio of experience that fosters life-long learning.",8,
29,6,"With little or no guidance, Students will be able to analyse complex systems and use Design Thinking to develop effective Digital Disruptions Be proficient in developing for a range of digital platforms and specific situations.",SE,
30,6,"With little or no guidance, students will be able to programme established and novel Artificial Intelligence techniques to solve authentic problems and respond to change, keeping ethics, data management and safety in focus.",CSAI,
31,6,"With little or no guidance, Students will be able to demonstrate game programming skills by developing programming solutions to significant problems, with an emphasis on working towards finished, potentially shippable artefacts.",GD,
32,6,"Apply Computer Science theory and techniques to solve authentic problems, for example through the use of Advanced Computational Architectures, and appropriate programming paradigms and algorithms.",CS,
