Id,AssignmentId,StudentId,Score,SubmittedAt
1,1,300000,75,21/03/2024 13:00:00
2,2,300000,75,13/01/2024 16:30:00
3,3,300000,75,22/05/2024 13:00:00
4,4,300000,75,16/11/2023 13:00:00
5,5,300000,75,09/01/2024 12:00:00
6,6,300000,75,14/12/2023 13:00:00
7,7,300000,75,14/12/2023 13:00:00
8,8,300000,75,09/05/2024 13:00:00
9,9,300000,75,16/11/2023 13:00:00
10,10,300000,75,09/01/2024 13:00:00
11,11,300000,75,27/11/2024 13:00:00
12,12,300000,75,08/05/2025 13:00:00
13,13,300000,75,07/01/2025 13:00:00
14,14,300000,75,20/11/2024 13:00:00
15,15,300000,75,13/01/2025 16:30:00
16,19,300000,75,01/05/2025 13:00:00
17,20,300000,75,21/05/2025 13:00:00
18,26,300000,75,23/04/2026 10:00:00
19,29,300000,75,26/11/2026 10:00:00
20,30,300000,75,08/01/2026 12:00:00
21,36,300000,75,11/12/2025 12:00:00
22,37,300000,75,11/05/2026 12:00:00
23,38,300000,75,29/04/2026 12:00:00
24,39,300000,75,05/05/2026 11:00:00
25,44,200000,60,20/03/2025 10:00:00
26,45,200000,60,13/01/2025 16:00:00
27,46,200000,60,22/05/2025 10:00:00
28,47,200000,60,15/11/2024 10:00:00
29,48,200000,60,09/01/2025 12:00:00
30,49,200000,60,14/12/2025 10:00:00
31,50,200000,60,13/12/2024 10:00:00
32,51,200000,60,09/05/2025 10:00:00
33,52,200000,60,15/11/2024 10:00:00
34,53,200000,60,09/01/2025 10:00:00
35,54,200000,60,27/11/2025 10:00:00
36,55,200000,60,08/05/2026 10:00:00
37,56,200000,60,07/01/2026 10:00:00
38,59,200000,60,27/11/2026 04:00:00
39,63,200000,60,21/05/2026 10:00:00
40,64,200000,60,07/05/2026 10:00:00
41,65,200000,60,24/04/2026 10:00:00
42,69,100000,40,23/03/2026 13:59:59
43,70,100000,40,13/01/2026 16:59:00
44,71,100000,40,22/05/2026 13:59:59
45,72,100000,40,17/11/2025 13:59:59
46,73,100000,40,09/01/2026 12:29:00
47,74,100000,40,15/12/2025 13:59:59
48,75,100000,40,15/12/2025 13:59:59
49,76,100000,40,11/05/2026 13:59:59
50,77,100000,40,17/11/2025 13:59:59
51,78,100000,40,09/01/2026 13:59:59
