Course,VCO_Seqn,Scheme,Collaborative_Indicator,VCO_Start_Year,VCO_End_Year,Online_Module_Choice?,Programme,Route,Award,Title,CBO_Block,CBO_Year,CBO_Occ,Block_Type,Current_Online_Diet,Online _Diet_Errors,Projected_2023/24_Diet,2023/24_Diet_Translation,2023/24_Diet_Errors,Diet_User_Help,Diet_Element_Seqn,Trimester,Selection_Status,Level,FMC_Code,Mod Code,MAV_Name,Credits,Assessment_Pattern,Diet_Element_User_Help,Video_URLs
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,1,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-1-ST1A,,2023-UGCOMSXF-4-1-ST1A,"Year=0 - Selections: 441101 in T12, 441104 in T2, 441105 in T1, 441102 in T2, 441108 in T1, 441187 in T12, 441190 in T12",,,10,T12,Core,4,441101,441101,Programming Portfolio,40,441101T1&222,,
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,1,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-1-ST1A,,2023-UGCOMSXF-4-1-ST1A,"Year=0 - Selections: 441101 in T12, 441104 in T2, 441105 in T1, 441102 in T2, 441108 in T1, 441187 in T12, 441190 in T12",,,20,T2,Compulsory,4,441104,441104,Computational Thinking,20,441104T12222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=7bd33189-7032-42b5-95ac-b2a201055dbb
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,1,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-1-ST1A,,2023-UGCOMSXF-4-1-ST1A,"Year=0 - Selections: 441101 in T12, 441104 in T2, 441105 in T1, 441102 in T2, 441108 in T1, 441187 in T12, 441190 in T12",,,30,T1,Compulsory,4,441105,441105,Algorithms and Data Structures,20,441105T12222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=3dee9899-2ab7-46cf-8982-b2a20105ae97
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,1,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-1-ST1A,,2023-UGCOMSXF-4-1-ST1A,"Year=0 - Selections: 441101 in T12, 441104 in T2, 441105 in T1, 441102 in T2, 441108 in T1, 441187 in T12, 441190 in T12",,,40,T2,Compulsory,4,441102,441102,"Architectures, Operating Systems and the Cloud",20,441102T22222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=3355f89d-df7e-4a18-8927-b2a20103c7e8
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,1,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-1-ST1A,,2023-UGCOMSXF-4-1-ST1A,"Year=0 - Selections: 441101 in T12, 441104 in T2, 441105 in T1, 441102 in T2, 441108 in T1, 441187 in T12, 441190 in T12",,,50,T1,Compulsory,4,441108,441108,Professional Development,20,441108T22222,,
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,2,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-2-ST1A,,2023-UGCOMSXF-4-2-ST1A,"Year=0 - Selections: 551462 in T12, 551457 in T1, 551458 in T1, 551460 in T2, 441190 in T12 - Electives: 20.00 available credits from 500083, 551461, 551672 in T2",,,10,T12,Core,5,551462,551462,Design Develop Deploy,40,551462T1222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=9c5fb0cc-2fac-4444-a03e-b2a201074d17
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,2,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-2-ST1A,,2023-UGCOMSXF-4-2-ST1A,"Year=0 - Selections: 551462 in T12, 551457 in T1, 551458 in T1, 551460 in T2, 441190 in T12 - Electives: 20.00 available credits from 500083, 551461, 551672 in T2",,,20,T1,Compulsory,5,551457,551457,Databases and Networks,20,551457T12222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=065c82b4-f0c1-4bc3-85b5-b2a20106813c
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,2,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-2-ST1A,,2023-UGCOMSXF-4-2-ST1A,"Year=0 - Selections: 551462 in T12, 551457 in T1, 551458 in T1, 551460 in T2, 441190 in T12 - Electives: 20.00 available credits from 500083, 551461, 551672 in T2",,,30,T1,Compulsory,5,551458,551458,Artificial Intelligence,20,551458T12222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=60b414c0-f2cf-40e9-bc25-b1fb01414c46
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,2,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-2-ST1A,,2023-UGCOMSXF-4-2-ST1A,"Year=0 - Selections: 551462 in T12, 551457 in T1, 551458 in T1, 551460 in T2, 441190 in T12 - Electives: 20.00 available credits from 500083, 551461, 551672 in T2",,,40,T2,Compulsory,5,551460,551460,User Interfaces and Experience,20,551460T22222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=7ffcc455-94cd-4e38-bd1c-b2a20106c99d
UGCOMSXF,4,Taught,,2022,,Y,US1CMP19,UGCOMS,BSc,Computer Science,2,2023/24,ST1A,Enrolment Block,2024-UGCOMSXF-4-2-ST1A,,2023-UGCOMSXF-4-2-ST1A,"Year=0 - Selections: 551462 in T12, 551457 in T1, 551458 in T1, 551460 in T2, 441190 in T12 - Electives: 20.00 available credits from 500083, 551461, 551672 in T2",,,50,T2,Optional,5,BSC COMP SCI T2 L5 OPTS,500083,Advanced Programming,20,500083T22222,,https://uoh.cloud.panopto.eu/Panopto/Pages/Embed.aspx?id=e38e20e7-2128-4ba0-ac41-b2a201061d8e
